:START_ID(Field),:END_ID(Field),relation,:TYPE
aac001,AAC001,计算来源,HAS_NEXT
AAE140,AAC001,计算来源,HAS_NEXT
AAB001,AAC001,计算来源,HAS_NEXT
AAE041,AAC001,计算来源,HAS_NEXT
AAZ107,AAC001,计算来源,HAS_NEXT
cad034,AAC001,计算来源,HAS_NEXT
AAE002,AAC001,计算来源,HAS_NEXT
AMC020,AAC001,计算来源,HAS_NEXT
CMC114,AAC001,计算来源,HAS_NEXT
peo,AAC001,计算来源,HAS_NEXT
age,AAC001,计算来源,HAS_NEXT
AAC004,AAC001,计算来源,HAS_NEXT
AAC006,AAC001,计算来源,HAS_NEXT
person_id,AAC001,计算来源,HAS_NEXT
company_id,AAC001,计算来源,HAS_NEXT
AMC030,AAC001,计算来源,HAS_NEXT
AAE149,AAC001,计算来源,HAS_NEXT
aaa027,AAC001,计算来源,HAS_NEXT
AAC001,AAZ107,"计算目标, 关联键",HAS_NEXT
AAC001,AAB001,"计算目标, 关联键",HAS_NEXT
AAC001,AAE140,"计算目标, 关联键",HAS_NEXT
AAC001,AAE041,"计算目标, 关联键",HAS_NEXT
AAC001,RAA019,"计算目标, 关联键",HAS_NEXT
AAC001,RAA018,"计算目标, 关联键",HAS_NEXT
AAC001,CMC114,"计算目标, 关联键",HAS_NEXT
AAC001,AAB073,"计算目标, 关联键",HAS_NEXT
AAC001,DAE046,"计算目标, 关联键",HAS_NEXT
AAC001,AAE019,"计算目标, 关联键",HAS_NEXT
AAC001,aac001,"计算目标, 关联键",HAS_NEXT
AAC001,aab001,"计算目标, 关联键",HAS_NEXT
AAC001,aab073,"计算目标, 关联键",HAS_NEXT
AAC001,peo,"计算目标, 关联键",HAS_NEXT
AAC001,type,"计算目标, 关联键",HAS_NEXT
AAC001,fund,"计算目标, 关联键",HAS_NEXT
AAC001,AAC006,"计算目标, 关联键",HAS_NEXT
AAC001,AAC004,"计算目标, 关联键",HAS_NEXT
AAC001,aac004,"计算目标, 关联键",HAS_NEXT
AAC001,AAE042,"计算目标, 关联键",HAS_NEXT
AAC001,income,"计算目标, 关联键",HAS_NEXT
AAC001,fundpay,"计算目标, 关联键",HAS_NEXT
AAC001,AAE003,"计算目标, 关联键",HAS_NEXT
AAC001,AKC264,"计算目标, 关联键",HAS_NEXT
AAC001,RAA001,"计算目标, 关联键",HAS_NEXT
AAC001,AAE002,"计算目标, 关联键",HAS_NEXT
AAC001,DAE041,"计算目标, 关联键",HAS_NEXT
AAC001,DAD001,"计算目标, 关联键",HAS_NEXT
AAC001,DAE083,"计算目标, 关联键",HAS_NEXT
AAC001,DAE048,"计算目标, 关联键",HAS_NEXT
AAC001,DAE049,"计算目标, 关联键",HAS_NEXT
aab001,AAB001,计算来源,HAS_NEXT
AAB004,AAB001,计算来源,HAS_NEXT
AAE003,AAB001,计算来源,HAS_NEXT
AAE140,AAB001,计算来源,HAS_NEXT
company_id,AAB001,计算来源,HAS_NEXT
AAE002,AAB001,计算来源,HAS_NEXT
AAA027,AAB001,计算来源,HAS_NEXT
AAC001,AAB001,计算来源,HAS_NEXT
SYEAR,AAB001,计算来源,HAS_NEXT
SMONTH,AAB001,计算来源,HAS_NEXT
AAE041,AAB001,计算来源,HAS_NEXT
CMC114,AAB001,计算来源,HAS_NEXT
BAB001,AAB001,计算来源,HAS_NEXT
AMC030,AAB001,计算来源,HAS_NEXT
AAB001,aab001,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE003,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE140,"计算目标, 关联基础",HAS_NEXT
AAB001,AAB004,"计算目标, 关联基础",HAS_NEXT
AAB001,AAC001,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE041,"计算目标, 关联基础",HAS_NEXT
AAB001,AAA027,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE002,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE042,"计算目标, 关联基础",HAS_NEXT
AAB001,AMC020,"计算目标, 关联基础",HAS_NEXT
AAB001,AAB073,"计算目标, 关联基础",HAS_NEXT
AAB001,DAE046,"计算目标, 关联基础",HAS_NEXT
AAB001,AAE019,"计算目标, 关联基础",HAS_NEXT
AAB001,aac001,"计算目标, 关联基础",HAS_NEXT
AAB001,aab073,"计算目标, 关联基础",HAS_NEXT
AAB001,AAA150,"计算目标, 关联基础",HAS_NEXT
AAB001,company_id,"计算目标, 关联基础",HAS_NEXT
AAB001,AAB019,"计算目标, 关联基础",HAS_NEXT
AAB001,DAB318,"计算目标, 关联基础",HAS_NEXT
AAA103,AAB073,"计算来源, 映射来源",HAS_NEXT
AAB001,AAB073,"计算来源, 映射来源",HAS_NEXT
AAB073,AAA103,计算目标,HAS_NEXT
AAB073,AAF013,计算目标,HAS_NEXT
AAB073,aab073,计算目标,HAS_NEXT
AAB073,AAC001,计算目标,HAS_NEXT
AAB073,AAB001,计算目标,HAS_NEXT
AAB073,DAE046,计算目标,HAS_NEXT
AAB073,AAE019,计算目标,HAS_NEXT
AAB073,aac001,计算目标,HAS_NEXT
AAB073,aab001,计算目标,HAS_NEXT
AAB073,name,计算目标,HAS_NEXT
AAB073,street,计算目标,HAS_NEXT
DAE041,DAE046,"汇总基础, 标识关联",HAS_NEXT
AAC001,DAE046,"汇总基础, 标识关联",HAS_NEXT
AAB001,DAE046,"汇总基础, 标识关联",HAS_NEXT
AAB073,DAE046,"汇总基础, 标识关联",HAS_NEXT
DAE046,AAC001,"计算目标, 分类依据",HAS_NEXT
DAE046,AAB001,"计算目标, 分类依据",HAS_NEXT
DAE046,AAB073,"计算目标, 分类依据",HAS_NEXT
DAE046,AAE019,"计算目标, 分类依据",HAS_NEXT
DAE046,aae019,"计算目标, 分类依据",HAS_NEXT
DAE046,SDATE,"计算目标, 分类依据",HAS_NEXT
DAE046,RAA037,"计算目标, 分类依据",HAS_NEXT
DAE046,SMONTH,"计算目标, 分类依据",HAS_NEXT
DAE046,DAE048,"计算目标, 分类依据",HAS_NEXT
DAE046,DAE049,"计算目标, 分类依据",HAS_NEXT
DAD001,DAE041,关联标识,HAS_NEXT
DAD001,DAE046,关联标识,HAS_NEXT
DAD001,DAE048,关联标识,HAS_NEXT
DAD001,DAE049,关联标识,HAS_NEXT
DAD001,DAE083,关联标识,HAS_NEXT
AAA027,AAE002,计算来源,HAS_NEXT
AAE003,AAE002,计算来源,HAS_NEXT
AAE140,AAE002,计算来源,HAS_NEXT
AAB001,AAE002,计算来源,HAS_NEXT
AAC001,AAE002,计算来源,HAS_NEXT
AMC020,AAE002,计算来源,HAS_NEXT
DAD001,AAE002,计算来源,HAS_NEXT
aab073,AAE002,计算来源,HAS_NEXT
aac001,AAE002,计算来源,HAS_NEXT
aab001,AAE002,计算来源,HAS_NEXT
AAE002,AAB001,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,AAA027,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,AAE003,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,AAE140,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,AAC001,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,AAE041,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,DAD001,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,aab073,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,aac001,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,aab001,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,company_id,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
AAE002,DAE046,"计算目标, 预警分析基础, 风险识别依据",HAS_NEXT
num,AAE019,计算来源,HAS_NEXT
DAE041,AAE019,计算来源,HAS_NEXT
AAE019,AAE140,"计算目标, 汇总基础",HAS_NEXT
AAE019,AAC001,"计算目标, 汇总基础",HAS_NEXT
AAE019,AAB001,"计算目标, 汇总基础",HAS_NEXT
AAE019,AAB073,"计算目标, 汇总基础",HAS_NEXT
AAE019,DAE046,"计算目标, 汇总基础",HAS_NEXT
AAE019,aae019,"计算目标, 汇总基础",HAS_NEXT
AAE019,RAA019,"计算目标, 汇总基础",HAS_NEXT
AAE019,MONEY,"计算目标, 汇总基础",HAS_NEXT
AAE019,peo,"计算目标, 汇总基础",HAS_NEXT
DAE041,DAE048,"映射来源, 分类基础, 关联标识",HAS_NEXT
DAE046,DAE048,"映射来源, 分类基础, 关联标识",HAS_NEXT
DAD001,DAE048,"映射来源, 分类基础, 关联标识",HAS_NEXT
DAE048,DAE049,分类扩展,HAS_NEXT
